LEV 1:1	Domnul l-a chemat pe Moise și i-a vorbit din Cortul Întâlnirii, spunând:
LEV 8:24	Moise i-a apropiat și pe fiii lui Aaron și a pus din sânge pe lobul urechii lor drepte, pe degetul mare al mâinii lor drepte și pe degetul mare al piciorului lor drept, iar restul sângelui l-a stropit pe altar de jur împrejur.
LEV 8:25	A luat grăsimea, coada întreagă, toată grăsimea de pe măruntaie, rețeaua ficatului, cei doi rinichi cu grăsimea lor și spata dreaptă.
LEV 8:26	Din coșul cu pâini fără aluat care era înaintea Domnului a luat o turtă fără aluat, o turtă de pâine cu untdelemn și o foiță și le-a pus pe grăsimi și pe spata dreaptă.
LEV 8:27	Le-a pus pe toate în palmele lui Aaron și în palmele fiilor lui și le-a legănat ca dar legănat înaintea Domnului.
LEV 8:28	Moise le-a luat din palmele lor și le-a ars pe altar, peste jertfa de ardere de tot. Ele au fost o jertfă de consacrare de un miros plăcut, o jertfă mistuită de foc pentru Domnul.
LEV 8:29	Moise a luat pieptul și l-a legănat ca dar legănat înaintea Domnului; din berbecul consacrării, aceasta a fost partea lui Moise, așa cum îi poruncise Domnul lui Moise.
LEV 8:30	Moise a luat din untdelemnul ungerii și din sângele de pe altar și a stropit pe Aaron, pe veșmintele lui, pe fiii lui și pe veșmintele fiilor lui împreună cu el, sfințindu-l pe Aaron, veșmintele lui, pe fiii lui și veșmintele fiilor lui împreună cu el.
LEV 8:31	Moise i-a zis lui Aaron și fiilor lui: „Fierbeți carnea la intrarea Cortului Întâlnirii și mâncați-o acolo, împreună cu pâinea din coșul consacrării, așa cum am poruncit, spunând: Aaron și fiii lui să o mănânce.
LEV 8:32	Iar ce va rămâne din carne și din pâine să ardeți în foc.
LEV 8:33	Să nu ieșiți de la intrarea Cortului Întâlnirii timp de șapte zile, până în ziua când se vor împlini zilele consacrării voastre; căci șapte zile va dura consacrarea voastră.
LEV 8:34	Cum s-a făcut astăzi, așa a poruncit Domnul să se facă, pentru a face ispășire pentru voi.
LEV 8:35	Să rămâneți la intrarea Cortului Întâlnirii zi și noapte, timp de șapte zile, și să păziți rânduiala Domnului, ca să nu muriți; căci așa mi s-a poruncit.”
LEV 8:36	Aaron și fiii lui au făcut toate lucrurile pe care le poruncise Domnul prin Moise.
LEV 9:1	În ziua a opta, Moise i-a chemat pe Aaron, pe fiii lui și pe bătrânii lui Israel,
LEV 9:2	și i-a zis lui Aaron: „Ia un vițel din cireadă ca jertfă pentru păcat și un berbec ca jertfă de ardere de tot, ambii fără cusur, și adu-i înaintea Domnului.
LEV 9:3	Iar fiilor lui Israel spune-le astfel: Luați un țap ca jertfă pentru păcat, un vițel și un miel, ambii de un an și fără cusur, ca jertfă de ardere de tot,
LEV 9:4	un taur și un berbec ca jertfă de pace pentru a aduce jertfă înaintea Domnului și o jertfă de mâncare frământată cu untdelemn; căci astăzi Domnul se va arăta vouă.”
LEV 9:5	Au adus în fața Cortului Întâlnirii ce poruncise Moise și toată comunitatea s-a apropiat și a stat înaintea Domnului.
LEV 9:6	Moise a zis: „Iată ce a poruncit Domnul să faceți, pentru ca slava Domnului să vi se arate.”
LEV 9:7	Moise i-a zis lui Aaron: „Apropie-te de altar și adu-ți jertfa pentru păcat și jertfa de ardere de tot și fă ispășire pentru tine și pentru popor; adu prinosul poporului și fă ispășire pentru ei, așa cum a poruncit Domnul.”
LEV 9:8	Aaron s-a apropiat de altar și a junghiat vițelul jertfei pentru păcat care era pentru sine.
LEV 9:9	Fiii lui Aaron i-au adus sângele, iar el și-a muiat degetul în sânge, a pus pe coarnele altarului și a turnat celălalt sânge la baza altarului.
LEV 9:10	Grăsimea, rinichii și rețeaua ficatului din jertfa pentru păcat le-a ars pe altar, așa cum îi poruncise Domnul lui Moise.
LEV 9:11	Iar carnea și pielea le-a ars în foc afară din tabără.
LEV 9:12	A junghiat apoi jertfa de ardere de tot, fiii lui Aaron i-au dat sângele, iar el l-a stropit pe altar de jur împrejur.
LEV 9:13	I-au dat jertfa de ardere de tot bucată cu bucată, împreună cu capul, iar el le-a ars pe altar.
LEV 9:14	A spălat măruntaiele și picioarele și le-a ars peste jertfa de ardere de tot pe altar.
LEV 9:15	A adus prinosul poporului: a luat țapul jertfei pentru păcat care era pentru popor, l-a junghiat și l-a adus ca jertfă pentru păcat, ca și pe primul.
LEV 9:16	A adus jertfa de ardere de tot și a pregătit-o după rânduială.
LEV 9:17	A adus jertfa de mâncare, a luat un pumn plin din ea și a ars-o pe altar, pe lângă jertfa de ardere de tot de dimineață.
LEV 9:18	A junghiat taurul și berbecul ca jertfă de pace pentru popor. Fiii lui Aaron i-au predat sângele, iar el l-a stropit pe altar de jur împrejur.
LEV 9:19	Grăsimile din taur și din berbec, coada întreagă, grăsimea care acoperă măruntaiele, rinichii și rețeaua ficatului,
LEV 9:20	le-au pus pe piepturi, iar el a ars grăsimile pe altar.
LEV 9:21	Piepturile și spata dreaptă Aaron le-a legănat ca dar legănat înaintea Domnului, așa cum poruncise Moise.
LEV 9:22	Aaron și-a ridicat mâinile spre popor și i-a binecuvântat; apoi s-a coborât după ce a săvârșit jertfa pentru păcat, jertfa de ardere de tot și jertfele de pace.
LEV 9:23	Moise și Aaron au intrat în Cortul Întâlnirii, iar când au ieșit, au binecuvântat poporul. Slava Domnului s-a arătat întregului popor.
LEV 9:24	Un foc a ieșit dinaintea Domnului și a mistuit pe altar jertfa de ardere de tot și grăsimile. Văzând aceasta, tot poporul a strigat de bucurie și a căzut cu fața la pământ.
LEV 10:1	Fiii lui Aaron, Nadab și Abihu, și-au luat fiecare cădelnița, au pus foc în ele, au pus tămâie pe foc și au adus înaintea Domnului foc străin, pe care El nu li-l poruncise.
LEV 10:2	Atunci a ieșit un foc dinaintea Domnului și i-a mistuit, și au murit înaintea Domnului.
LEV 10:3	Moise i-a zis lui Aaron: „Aceasta este ce a spus Domnul: «Prin cei ce se apropie de Mine Îmi voi arăta sfințenia și înaintea întregului popor Mi se va da slavă!»” Iar Aaron a tăcut.
LEV 10:4	Moise i-a chemat pe Mișael și pe Elțafan, fiii lui Uziel, unchiul lui Aaron, și le-a zis: „Apropiați-vă și duceți pe frații voștri din fața Sfântului Lăcaș afară din tabără.”
LEV 10:5	Ei s-au apropiat și i-au dus îmbrăcați în tunicile lor afară din tabără, așa cum spusese Moise.
LEV 10:6	Moise le-a zis lui Aaron, lui Eleazar și lui Itamar, fiii lui: „Să nu vă despleteți părul de pe cap și să nu vă sfâșiați hainele, ca să nu muriți și să nu se mânie Domnul împotriva întregii comunități. Dar frații voștri, întreaga casă a lui Israel, să plângă din cauza arderii pe care a aprins-o Domnul.
LEV 10:7	Să nu ieșiți de la intrarea Cortului Întâlnirii, ca să nu muriți, căci untdelemnul ungerii Domnului este peste voi.” Ei au făcut după cuvântul lui Moise.
LEV 10:8	Domnul i-a vorbit lui Aaron, spunând:
LEV 10:9	„Să nu beți vin și nicio băutură amețitoare, nici tu, nici fiii tăi împreună cu tine, când intrați în Cortul Întâlnirii, ca să nu muriți. Aceasta este o ordonanță veșnică pentru generațiile voastre,
LEV 10:10	ca să puteți deosebi între ce este sfânt și ce este profan, între ce este necurat și ce este curat,
LEV 10:11	și să-i învățați pe fiii lui Israel toate rânduielile pe care le-a vorbit Domnul prin Moise.”
LEV 10:12	Moise le-a zis lui Aaron, lui Eleazar și lui Itamar, fiii lui rămași: „Luați jertfa de mâncare ce a rămas din jertfele mistuite de foc ale Domnului și mâncați-o fără aluat lângă altar, căci este un lucru preasfânt.
LEV 10:13	Să o mâncați într-un loc sfânt, pentru că este partea ta și partea fiilor tăi din jertfele mistuite de foc ale Domnului; căci așa mi s-a poruncit.
LEV 10:14	Pieptul legănat și spata ridicată să le mâncați într-un loc curat, tu, fiii tăi și fiicele tale împreună cu tine; căci v-au fost date ca partea ta și partea fiilor tăi din jertfele de pace ale fiilor lui Israel.
LEV 10:15	Vor aduce spata ridicată și pieptul legănat împreună cu jertfele mistuite de foc ale grăsimilor, pentru a le legăna ca dar legănat înaintea Domnului; ele vor fi ale tale și ale fiilor tăi împreună cu tine prin ordonanță veșnică, așa cum a poruncit Domnul.”
LEV 10:16	Moise a căutat cu stăruință țapul jertfei pentru păcat și iată că fusese ars! S-a mâniat pe Eleazar și pe Itamar, fiii rămași ai lui Aaron, spunând:
LEV 10:17	„De ce nu ați mâncat jertfa pentru păcat într-un loc sfânt? Căci este un lucru preasfânt și v-a fost dată ca să purtați vina adunării și să faceți ispășire pentru ei înaintea Domnului.
LEV 10:18	Iată că sângele ei nu a fost dus în interiorul Sfântului Lăcaș; trebuia neapărat să o mâncați în Sfântul Lăcaș, așa cum am poruncit!”
LEV 10:19	Aaron i-a răspuns lui Moise: „Iată că astăzi și-au adus jertfa pentru păcat și jertfa de ardere de tot înaintea Domnului, și mie mi s-au întâmplat asemenea lucruri! Dacă aș fi mâncat astăzi din jertfa pentru păcat, ar fi fost plăcut în ochii Domnului?”
LEV 10:20	Când a auzit Moise, a fost mulțumit.
LEV 11:1	Domnul le-a vorbit lui Moise și lui Aaron, spunându-le:
LEV 11:2	„Vorbiți fiilor lui Israel și spune-le: Iată viețuitoarele pe care le veți putea mânca dintre toate animalele de pe pământ:
LEV 11:3	Orice animal care are copita despicată, adică despărțită în două gheare, și care rumegă printre animale, pe acela îl veți mânca.
LEV 11:4	Dar din cele ce numai rumegă sau numai au copita despicată să nu mâncați: cămila, pentru că rumegă, dar nu are copita despicată; ea este necurată pentru voi;
LEV 11:5	iepurele de stâncă, pentru că rumegă, dar nu are copita despicată; este necurat pentru voi;
LEV 11:6	iepurele de câmp, pentru că rumegă, dar nu are copita despicată; este necurat pentru voi;
LEV 11:7	și porcul, pentru că are copita despicată și despicată în două, dar nu rumegă; este necurat pentru voi.
LEV 11:8	Din carnea lor să nu mâncați și de stârvurile lor să nu vă atingeți; sunt necurate pentru voi.
LEV 11:9	Iată ce veți mânca din tot ce este în ape: tot ce are înotătoare și solzi în ape, în mări și în râuri, pe acelea le veți mânca.
LEV 11:10	Dar tot ce nu are înotătoare și solzi în mări și în râuri, dintre toate vietățile care mișună în ape și dintre toate ființele vii din ape, să fie o urâciune pentru voi.
LEV 11:11	Ele vor fi o urâciune pentru voi; din carnea lor să nu mâncați și stârvurile lor să le priviți ca pe o urâciune.
LEV 11:12	Tot ce nu are înotătoare și solzi în ape va fi o urâciune pentru voi.
LEV 11:13	Dintre păsări, iată pe cele pe care le veți privi ca pe o urâciune și care nu se vor mânca, fiind o urâciune: vulturul, zăganul și vulturul de mare,
LEV 11:14	gaia, șoimul după soiurile lui,
LEV 11:15	toate soiurile de corbi,
LEV 11:16	struțul, cucuveaua, pescărușul și uliul după soiurile lui,
LEV 11:17	cucuveaua de stâncă, corbul de apă și bufnita,
LEV 11:18	lebăda, pelicanul și vulturul pleșuv,
LEV 11:19	barza, stârcul după soiurile lui, pupăza și liliacul.
LEV 11:20	Orice insectă înaripată care umblă pe patru picioare să fie o urâciune pentru voi.
LEV 11:21	Dar din toate insectele înaripate care umblă pe patru picioare le veți putea mânca pe cele care au picioare lungi deasupra labelor, cu care să sară pe pământ.
LEV 11:22	Iată pe care le veți mânca dintre ele: lăcusta după soiurile ei, lăcusta solam după soiurile ei, lăcusta hargol după soiurile ei și lăcusta hagav după soiurile ei.
LEV 11:23	Dar orice altă insectă înaripată care are patru picioare să fie o urâciune pentru voi.
LEV 11:24	Prin acestea vă veți întina; oricine se va atinge de stârvurile lor va fi necurat până seara,
LEV 11:25	iar oricine va purta ceva din stârvul lor să-și spele hainele și va fi necurat până seara.
LEV 11:26	Orice animal care are copita despicată, dar nu copita despărțită în două gheare și care nu rumegă, este necurat pentru voi; oricine se va atinge de ele va fi necurat.
LEV 11:27	Toate animalele care umblă pe labe dintre toate cele pe patru picioare sunt necurate pentru voi; oricine se va atinge de stârvul lor va fi necurat până seara.
LEV 11:28	Iar cine va purta stârvul lor să-și spele hainele și va fi necurat până seara; ele sunt necurate pentru voi.
LEV 11:29	Iată ce va fi necurat pentru voi dintre vietățile care mișună pe pământ: cârtița, șoarecele și șopârla după soiurile lor,
LEV 11:30	ghepardul de zid, gușterul, șopârla de nisip, melcul și salamandra.
LEV 11:31	Acestea sunt necurate pentru voi dintre toate vietățile care mișună; oricine se va atinge de ele când sunt moarte va fi necurat până seara.
LEV 11:32	Orice lucru peste care va cădea vreuna din ele când este moartă va fi necurat, fie vas de lemn, fie haină, fie piele, fie sac, orice vas folosit la vreo muncă; să fie pus în apă și va fi necurat până seara, apoi va fi curat.
LEV 11:33	Dacă va cădea într-un vas de lut, tot ce este în el va fi necurat și vasul îl veți sparge.
LEV 11:34	Orice hrană care se mănâncă, peste care va cădea apă dintr-un astfel de vas, va fi necurată; și orice băutură care se bea dintr-un astfel de vas va fi necurată.
LEV 11:35	Orice lucru peste care va cădea vreo parte din stârvul lor va fi necurat; cuptorul sau plita să fie dărâmate, căci sunt necurate și vor fi necurate pentru voi.
LEV 11:36	Numai un izvor sau o fântână în care se adună apă vor rămâne curate, dar cine se va atinge de stârvul lor va fi necurat.
LEV 11:37	Dacă va cădea o parte din stârvul lor pe vreo sămânță de semănat, ea va rămâne curată;
LEV 11:38	dar dacă s-a pus apă pe sămânță și va cădea pe ea o parte din stârvul lor, ea va fi necurată pentru voi.
LEV 11:39	Dacă moare un animal din cele pe care le puteți mânca, cine se va atinge de stârvul lui va fi necurat până seara.
LEV 11:40	Cine va mânca din stârvul lui să-și spele hainele și va fi necurat până seara; și cine va purta stârvul lui să-și spele hainele și va fi necurat până seara.
LEV 11:41	Orice vietate care se târăște pe pământ este o urâciune; să nu se mănânce.
LEV 11:42	Tot ce se târăște pe pântece, tot ce umblă pe patru picioare sau are multe picioare, dintre toate vietățile care mișună pe pământ, să nu le mâncați, căci sunt o urâciune.
LEV 11:43	Să nu vă faceți urâcioși prin nicio vietate care se târăște și să nu vă întinați prin ele, ca să nu deveniți necurați prin ele.
LEV 11:44	Căci Eu sunt Domnul Dumnezeul vostru. Sfințiți-vă și fiți sfinți, căci Eu sunt sfânt! Să nu vă întinați sufletele prin nicio vietate care se târăște pe pământ.
LEV 11:45	Căci Eu sunt Domnul, Care v-am scos din țara Egiptului ca să vă fiu Dumnezeu. Fiți dar sfinți, căci Eu sunt sfânt!
LEV 11:46	Aceasta este legea privitoare la animale, la păsări, la toate ființele vii care se mișcă în ape și la toate vietățile care mișună pe pământ,
LEV 11:47	ca să deosebiți între ce este necurat și ce este curat, între vietățile care se pot mânca și vietățile care nu se pot mânca.”
LEV 12:1	Domnul i-a vorbit lui Moise, spunând:
LEV 12:2	„Vorbește fiilor lui Israel și spune-le: Dacă o femeie va zămisli și va naște un băiat, va fi necurată șapte zile; va fi necurată ca în zilele necurăției menstruației ei.
LEV 12:3	În ziua a opta, copilul să fie tăiat împrejur în carnea prepuțului său.
LEV 12:4	Ea va mai rămâne treizeci și trei de zile pentru curățirea sângelui ei; să nu se atinge de niciun lucru sfânt și să nu intre în Sfântul Lăcaș până când nu se vor împlini zilele curățirii ei.
LEV 12:5	Dar dacă va naște o fată, va fi necurată două săptămâni, ca la menstruația ei, și va rămâne șaizeci și șase de zile pentru curățirea sângelui ei.
LEV 12:6	Când se vor împlini zilele curățirii ei pentru un fiu sau pentru o fiică, să aducă preotului la intrarea Cortului Întâlnirii un miel de un an ca jertfă de ardere de tot și un pui de porumbel sau o turturea ca jertfă pentru păcat.
LEV 12:7	Preotul le va aduce înaintea Domnului și va face ispășire pentru ea, și va fi curățită de scurgerea sângelui ei. Aceasta este legea pentru cea care naște un băiat sau o fată.
LEV 12:8	Iar dacă mijloacele ei nu-i îngăduie să aducă un miel, să ia două turturele sau doi pui de porumbel, unul ca jertfă de ardere de tot și celălalt ca jertfă pentru păcat. Preotul va face ispășire pentru ea și va fi curată.”
LEV 13:1	Domnul le-a vorbit lui Moise și lui Aaron, spunând:
LEV 13:2	„Când un om va avea pe pielea trupului său o umflătură, o bubă sau o pată albă, și ea va deveni pe pielea trupului său o rană de lepră, să fie adus la preotul Aaron sau la unul din fiii lui, preoții.
LEV 13:3	Preotul să examineze rana de pe pielea trupului; dacă părul de pe rană s-a făcut alb și rana pare mai adâncă decât pielea trupului, este o rană de lepră. Preotul să îl examineze și să îl declare necurat.
LEV 13:4	Dar dacă pata de pe pielea trupului său este albă și nu pare mai adâncă decât pielea, iar părul ei nu s-a făcut alb, preotul să îl izoleze pe cel cu rana timp de șapte zile.
LEV 13:5	Preotul să îl examineze în ziua a șaptea; dacă rana a rămas neschimbată în ochii lui și nu s-a întins pe piele, preotul să îl mai izoleze șapte zile.
LEV 13:6	Preotul să îl examineze din nou în ziua a șaptea; dacă rana a devenit palidă și nu s-a întins pe piele, preotul să îl declare curat; este o simplă eczemă. El își va spăla hainele și va fi curat.
LEV 13:7	Dar dacă eczema se va întinde pe piele după ce s-a arătat preotului pentru curățirea sa, să se arate din nou preotului.
LEV 13:8	Preotul îl va examina; dacă eczema s-a întins pe piele, preotul îl va declara necurat: este lepră.
LEV 13:9	Când va fi pe un om o rană de lepră, să fie adus la preot.
LEV 13:10	Preotul îl va examina; dacă este o umflătură albă pe piele, care a făcut părul alb și dacă este carne vie în umflătură,
LEV 13:11	este o lepră veche pe pielea trupului său. Preotul îl va declara necurat; nu îl va izola, căci este necurat.
LEV 13:12	Dar dacă lepra va izbucni pe piele și va acoperi toată pielea celui cu rana, de la cap până la picioare, pretutindeni unde privesc ochii preotului,
LEV 13:13	preotul îl va examina; dacă lepra a acoperit tot trupul lui, îl va declara curat pe cel cu rana: s-a făcut alb peste tot, este curat.
LEV 13:14	Dar în ziua când se va vedea în el carne vie, va fi necurat.
LEV 13:15	Preotul va vedea carnea vie și îl va declara necurat; carnea vie este necurată, este lepră.
LEV 13:16	Dacă însă carnea vie se va schimba și se va face iarăși albă, să vină la preot.
LEV 13:17	Preotul îl va examina; dacă rana s-a făcut albă, preotul îl va declara curat pe cel cu rana: este curat.
LEV 13:18	Când trupul va avea pe piele o bubă și ea s-a vindecat,
LEV 13:19	iar în locul bubei va fi o umflătură albă sau o pată alb-roșiatică, să se arate preotului.
LEV 13:20	Preotul o va examina; dacă pare mai lăsată decât pielea și părul ei s-a făcut alb, preotul îl va declara necurat: este o rană de lepră care a izbucnit în bubă.
LEV 13:21	Dar dacă preotul o examinează și iată că nu este păr alb pe ea, nu este mai lăsată decât pielea și este palidă, preotul să îl izoleze șapte zile.
LEV 13:22	Dacă s-a întins pe piele, preotul îl va declara necurat: este o rană de lepră.
LEV 13:23	Dar dacă pata albă a rămas în locul ei și nu s-a întins, este cicatricea bubei; preotul îl va declara curat.
LEV 13:24	Sau când trupul va avea pe piele o arsură de foc, iar locul viu al arsurii devine o pată alb-roșiatică sau albă,
LEV 13:25	preotul o va examina; dacă părul de pe pată s-a făcut alb și ea pare mai adâncă decât pielea, este lepră izbucnită în arsură. Preotul îl va declara necurat: este o rană de lepră.
LEV 13:26	Dar dacă preotul o examinează și iată că nu este păr alb pe pată, ea nu este mai adâncă decât pielea și este palidă, preotul să îl izoleze șapte zile.
LEV 13:27	Preotul îl va examina în ziua a șaptea; dacă s-a întins pe piele, preotul îl va declara necurat: este o rană de lepră.
LEV 13:28	Dar dacă pata a rămas la locul ei, nu s-a întins pe piele și este palidă, este umflătura arsurii. Preotul îl va declara curat, căci este cicatricea arsurii.
LEV 13:29	Când un bărbat sau o femeie va avea o rană pe cap sau pe barbă,
LEV 13:30	preotul va examina rana; dacă ea pare mai adâncă decât pielea și este pe ea păr galben și subțire, preotul îl va declara necurat: este râie, adică lepra capului sau a bărbii.
LEV 13:31	Dar dacă preotul examinează rana de râie și iată că ea nu pare mai adâncă decât pielea și nu este păr negru pe ea, preotul să îl izoleze pe cel cu rana de râie șapte zile.
LEV 13:32	Preotul va examina rana în ziua a șaptea; dacă râia nu s-a întins, nu este păr galben pe ea și râia nu pare mai adâncă decât pielea,
LEV 13:33	omul se va rade, dar râia nu o va rade; iar preotul îl va izola pe cel cu râia încă șapte zile.
LEV 13:34	Preotul va examina râia în ziua a șaptea; dacă râia nu s-a întins pe piele și nu pare mai adâncă decât pielea, preotul îl va declara curat. El își va spăla hainele și va fi curat.
LEV 13:35	Dar dacă râia se va întinde pe piele după curățirea lui,
LEV 13:36	preotul îl va examina; dacă râia s-a întins pe piele, preotul nu va mai căuta părul galben: este necurat.
LEV 13:37	Dar dacă în ochii lui râia a rămas neschimbată și a crescut păr negru pe ea, râia s-a vindecat: este curat și preotul îl va declara curat.
LEV 13:38	Când un bărbat sau o femeie va avea pe pielea trupului pete, adică pete albe,
LEV 13:39	preotul le va examina; dacă petele de pe pielea trupului lor sunt alb-palide, este o eczemă albă izbucnită pe piele: el este curat.
LEV 13:40	Dacă unui bărbat îi cade părul de pe cap, el este chel, dar este curat.
LEV 13:41	Dacă îi cade părul din fața capului, este chel în frunte, dar este curat.
LEV 13:42	Dar dacă pe chelie sau pe chelia din frunte va fi o rană alb-roșiatică, este lepră izbucnită pe chelia lui sau pe chelia din fruntea lui.
LEV 13:43	Preotul îl va examina; dacă umflătura ranei este alb-roșiatică pe chelia lui sau pe chelia din frunte, arătând ca lepra de pe pielea trupului,
LEV 13:44	omul acela este lepros, este necurat. Preotul îl va declara necurat; rana lui este pe cap.
LEV 13:45	Leprosul care are această rană să aibă hainele sfâșiate, capul descoperit, să-și acopere barba și să strige: «Necurat! Necurat!»
LEV 13:46	Toate zilele cât va fi rana pe el va fi necurat. Este necurat; va locui singur, locuința lui va fi afară din tabără.
LEV 13:47	Când va fi o rană de lepră pe o haină, fie haină de lână, fie haină de in,
LEV 13:48	fie pe urzeală, fie pe bătătură, de in sau de lână, fie pe o piele sau pe orice lucru de piele,
LEV 13:49	dacă rana este verzuie sau roșiatică pe haină sau pe piele, pe urzeală sau pe bătătură, sau pe orice lucru de piele, este o rană de lepră și se va arăta preotului.
LEV 13:50	Preotul va examina rana și va izola lucrul cu rana șapte zile.
LEV 13:51	Va examina rana în ziua a șaptea; dacă rana s-a întins pe haină, pe urzeală sau pe bătătură, sau pe piele, pentru orice lucrare la care se folosește pielea, rana este o lepră distrugătoare: lucrul este necurat.
LEV 13:52	Va arde haina sau urzeala, ori bătătura de lână sau de in, ori orice lucru de piele pe care se află rana, căci este o lepră distrugătoare; să fie ars în foc.
LEV 13:53	Dar dacă preotul examina și iată că rana nu s-a întins pe haină, pe urzeală sau pe bătătură, ori pe orice lucru de piele,
LEV 13:54	preotul va porunci să se spele lucrul pe care este rana și îl va mai izola șapte zile.
LEV 13:55	Preotul va examina rana după ce a fost spălată; dacă rana nu și-a schimbat înfățișarea, deși nu s-a întins, lucrul este necurat: să îl arzi în foc, este o rosură pe fața sau pe spatele lui.
LEV 13:56	Dar dacă preotul examinează și iată că rana a devenit palidă după ce a fost spălată, o va rupe din haină sau din piele, ori din urzeală sau din bătătură.
LEV 13:57	Dacă va mai apărea pe haină, pe urzeală sau pe bătătură, ori pe orice lucru de piele, este o lepră izbucnită; să arzi în foc lucrul pe care este rana.
LEV 13:58	Dar haina, urzeala sau bătătura, ori orice lucru de piele pe care îl vei spăla și de pe care va dispărea rana, să fie spălat a doua oară și va fi curat.”
LEV 13:59	Aceasta este legea ranei de lepră de pe o haină de lână sau de in, de pe urzeală sau de pe bătătură, ori de pe orice lucru de piele, pentru a o declara curată sau necurată.
LEV 14:1	Domnul i-a vorbit lui Moise, spunând:
LEV 14:2	„Aceasta este legea leprosului în ziua curățirii lui: să fie adus la preot.
LEV 14:3	Preotul să ieși afară din tabără și preotul îl va examina; dacă rana de lepră s-a vindecat pe lepros,
LEV 14:4	preotul va porunci să se ia pentru cel ce trebuie curățit două păsări vii și curate, lemn de cedru, fir de cârmâz și isop.
LEV 14:5	Preotul va porunci să se junghie una din păsări într-un vas de lut, deasupra unei ape curgătoare.
LEV 14:6	Va lua pasărea vie, lemnul de cedru, firul de cârmâz și isopul și le va muia, împreună cu pasărea vie, în sângele păsării junghiate deasupra apei curgătoare.
LEV 14:7	Va stropi de șapte ori pe cel ce trebuie curățit de lepră și îl va declara curat; apoi va lăsa pasărea vie să zboare pe câmp.
LEV 14:8	Cel ce se curățește își va spăla hainele, își va rade tot părul și se va scălda în apă, și va fi curat. După aceea va intra în tabără, dar va rămâne afară din cortul său șapte zile.
LEV 14:9	În ziua a șaptea își va rade tot părul, capul, barba și sprâncenele; își va rade tot părul, își va spăla hainele, își va scălda trupul în apă și va fi curat.
LEV 14:10	În ziua a opta va lua doi miei fără cusur și o oaie de un an fără cusur, trei zecimi de efă de floarea făinii frământată cu untdelemn ca jertfă de mâncare și un log de untdelemn.
LEV 14:11	Preotul care face curățirea îl va înfățișa pe omul ce se curățește, împreună cu aceste lucruri, înaintea Domnului, la intrarea Cortului Întâlnirii.
LEV 14:12	Preotul va lua un miel și îl va aduce ca jertfă pentru vină, împreună cu logul de untdelemn, și le va legăna ca dar legănat înaintea Domnului.
LEV 14:13	Va junghia mielul în locul unde se junghie jertfa pentru păcat și jertfa de ardere de tot, într-un loc sfânt; căci cum este jertfa pentru păcat, așa este și jertfa pentru vină: este a preotului, este un lucru preasfânt.
LEV 14:14	Preotul va lua din sângele jertfei pentru vină și va pune pe lobul urechii drepte a celui ce se curățește, pe degetul mare al mâinii lui drepte și pe degetul mare al piciorului lui drept.
LEV 14:15	Preotul va lua din logul de untdelemn și va turna în palma mâinii sale stângi.
LEV 14:16	Preotul își va muia degetul drept în untdelemnul din palma stângă și va stropi cu degetul din untdelemn de șapte ori înaintea Domnului.
LEV 14:17	Din restul untdelemnului care este în palma sa, preotul va pune pe lobul urechii drepte a celui ce se curățește, pe degetul mare al mâinii lui drepte și pe degetul mare al piciorului lui drept, peste sângele jertfei pentru vină.
LEV 14:18	Iar ce va mai rămâne din untdelemnul din palma sa, preotul va pune pe capul celui ce se curățește; astfel preotul va face ispășire pentru el înaintea Domnului.
LEV 14:19	Preotul va aduce jertfa pentru păcat și va face ispășire pentru cel ce se curățește de necurăția lui; după aceea va junghia jertfa de ardere de tot.
LEV 14:20	Preotul va aduce pe altar jertfa de ardere de tot și jertfa de mâncare; astfel preotul va face ispășire pentru el și va fi curat.
LEV 14:21	Dar dacă este sărac și mijloacele nu-i îngăduie atât, va lua un singur miel ca jertfă pentru vină, ca dar legănat pentru a face ispășire pentru el, o zecime de efă de floarea făinii frământată cu untdelemn ca jertfă de mâncare, un log de untdelemn,
LEV 14:22	și două turturele sau doi pui de porumbel, după mijloacele lui, unul ca jertfă pentru păcat și celălalt ca jertfă de ardere de tot.
LEV 14:23	Le va aduce în ziua a opta pentru curățirea sa preotului, la intrarea Cortului Întâlnirii, înaintea Domnului.
LEV 14:24	Preotul va lua mielul jertfei pentru vină și logul de untdelemn și preotul le va legăna ca dar legănat înaintea Domnului.
LEV 14:25	Va junghia mielul jertfei pentru vină, preotul va lua din sângele jertfei pentru vină și va pune pe lobul urechii drepte a celui ce se curățește, pe degetul mare al mâinii lui drepte și pe degetul mare al piciorului lui drept.
LEV 14:26	Preotul va turna din untdelemn în palma mâinii sale stângi.
LEV 14:27	Preotul va stropi cu degetul său drept din untdelemnul din palma stângă de șapte ori înaintea Domnului.
LEV 14:28	Preotul va pune din untdelemnul din palma sa pe lobul urechii drepte a celui ce se curățește, pe degetul mare al mâinii lui drepte și pe degetul mare al piciorului lui drept, în locul unde a pus sângele jertfei pentru vină.
LEV 14:29	Iar ce va mai rămâne din untdelemnul din palma sa, preotul va pune pe capul celui ce se curățește, ca să facă ispășire pentru el înaintea Domnului.
LEV 14:30	Va pregăti una din turturele sau unul din puii de porumbel, după ce-i îngăduie mijloacele,
